Name,AXA Category,Organiser,Length (Hours),Avg. User Rating,Total Enrollments,Total Ratings,Difficulty,Public URL,AXA URL
Interfaz de usuario en iOS,"New Courses, Spanish Selection",Tecnológico de Monterrey,16,4.356521739130435,5694,115,Mixed,https://www.coursera.org/learn/interfaz-ios,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=xRGY8xnoEeWnbwoiFA2iGw&productType=course&showMiniModal=true
Introducción a Java,"New Courses, Spanish Selection",Universidad Nacional Autónoma de México,33,4.49375,67701,320,Beginner,https://www.coursera.org/learn/introduccion-java,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=sVI44kbHEeWg8Q7YVWmVfw&productType=course&showMiniModal=true
Introducción a la Contabilidad Financiera,"New Courses, Spanish Selection",IESE Business School,22,4.862612612612613,20758,444,Beginner,https://www.coursera.org/learn/contabilidad-financiera,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=Pf8IEt2YEeaJ4g5huBPuvg&productType=course&showMiniModal=true
Introducción a la Estrategia,"New Courses, Spanish Selection",Universidad Nacional Autónoma de México,14,4.755434782608695,14504,184,Mixed,https://www.coursera.org/learn/introduccionalaestrategia,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=qVdZmLWqEeWq2A7HIftJ6w&productType=course&showMiniModal=true
Introducción a la Minería de Datos,"New Courses, Spanish Selection",Pontificia Universidad Católica de Chile,13,4.715189873417722,10369,316,Beginner,https://www.coursera.org/learn/mineria-de-datos-introduccion,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=qJiBFN8aEeeOGgo97NIakg&productType=course&showMiniModal=true
Introducción a la programación en Python I: Aprendiendo a programar con Python,"New Courses, Spanish Selection",Pontificia Universidad Católica de Chile,29,4.479550102249489,72550,978,Beginner,https://www.coursera.org/learn/aprendiendo-programar-python,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=R_diPSN1EeeCDQ44DPGlIA&productType=course&showMiniModal=true
Introducción a la programación orientada a objetos en Java,"New Courses, Spanish Selection",Universidad de los Andes,49,4.78740157480315,22967,127,Beginner,https://www.coursera.org/learn/introduccion-programacion-java,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=YgrvbxeNEeaUCRJWL-pjpQ&productType=course&showMiniModal=true
Introducción a las Finanzas,"New Courses, Spanish Selection",Universidad Nacional Autónoma de México,17,4.672131147540983,23532,183,Mixed,https://www.coursera.org/learn/estrategia-financiera,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=BLpHr7WrEeWPfQod2hINJQ&productType=course&showMiniModal=true
Introducción al Mercado,"New Courses, Spanish Selection",Universidad Nacional Autónoma de México,8,4.369230769230769,11045,65,Mixed,https://www.coursera.org/learn/mercado-investigacion,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=dbg14I1oEeWbIxKn7M-nSQ&productType=course&showMiniModal=true
Introducción al mundo de las negociaciones,"New Courses, Spanish Selection",Universidad Nacional Autónoma de México,12,4.75,15123,220,Mixed,https://www.coursera.org/learn/estrategias-de-negociacion,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=7mp9vlryEeWzUQ41NnCQkQ&productType=course&showMiniModal=true
La comunicación laboral en el siglo XXI,"New Courses, Spanish Selection","University of California, Irvine",5,4.349514563106796,4351,103,Mixed,https://www.coursera.org/learn/comunicacion-trabajo,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=Nq5uokEjEeWC4g7VhG4bTQ&productType=course&showMiniModal=true
"La familia empresaria: individuo, dinámica y tiempo","New Courses, Spanish Selection",ESADE Business and Law School,9,4.533333333333333,654,15,Mixed,https://www.coursera.org/learn/familia-empresaria,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=RdcXx-kUEeWDtQ4tuIgsiw&productType=course&showMiniModal=true
