Name,AXA Category,Organiser,Length (Hours),Avg. User Rating,Total Enrollments,Total Ratings,Difficulty,Public URL,AXA URL
AI For Everyone,"AXA Learning Week - Customer Experience, Most Popular Courses, Data Science",deeplearning.ai,9,4.848530519969857,218093,7962,Beginner,https://www.coursera.org/learn/ai-for-everyone,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=daG-a-O1EeijKBISCWxf6g&productType=course&showMiniModal=true
IA para todos,AXA Learning Week - Customer Experience,deeplearning.ai,10,4.895705521472393,3409,163,Beginner,https://www.coursera.org/learn/ai-for-everyone-es,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=-dStqHwLEemRuwqxTtPkKg&productType=course&showMiniModal=true
Design Thinking for Innovation,"AXA Learning Week - Customer Experience, Innovation and New Trends",University of Virginia,10,4.619523669508968,195967,3401,Beginner,https://www.coursera.org/learn/uva-darden-design-thinking-innovation,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=opCIcU3SEeWeiwqPB940Pw&productType=course&showMiniModal=true
AWS Fundamentals: Going Cloud-Native,"AXA Learning Week - Customer Experience, New Courses, Data Engineering And Cloud",Amazon Web Services,7,4.663882063882064,63227,2035,Beginner,https://www.coursera.org/learn/aws-fundamentals-going-cloud-native,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=Ye5LYpXGEeir-RIKs5gHUA&productType=course&showMiniModal=true
Customer Value in Pricing Strategy,"AXA Learning Week - Customer Experience, Marketing and Customer","University of Virginia, BCG",21,4.83419689119171,6102,193,Beginner,https://www.coursera.org/learn/uva-darden-bcg-pricing-strategy-customer-value,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=a4IUMIDiEeaztxKMUHWbjQ&productType=course&showMiniModal=true
Innovating in a Digital World,"AXA Learning Week - Customer Experience, Innovation and New Trends, French Selection",Institut Mines-Télécom,10,4.576856649395509,32651,579,Mixed,https://www.coursera.org/learn/innovating-digital-world,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=8GTGgDxOEeWdUgozVKt3nw&productType=course&showMiniModal=true
Marketing in a Digital World,"AXA Learning Week - Customer Experience, Marketing and Customer, Portuguese Selection, Spanish Selection, Turkish Selection, Turkish Selection, Chinese Selection",University of Illinois at Urbana-Champaign,29,4.658656204021579,252157,6117,Beginner,https://www.coursera.org/learn/marketing-digital,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=FDKAdNsuEeSEcyIAC2mPOQ&productType=course&showMiniModal=true
Branding and Customer Experience,"AXA Learning Week - Customer Experience, Marketing and Customer",IE Business School,17,4.574074074074074,4096,54,Intermediate,https://www.coursera.org/learn/branding-and-cx,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=jqT6nrHfEeiG4w7I1UJuRA&productType=course&showMiniModal=true
Introduction to Blockchain Technologies,"AXA Learning Week - Customer Experience, New Courses, Business Foundations",INSEAD,17,4.771367521367521,9832,468,Beginner,https://www.coursera.org/learn/introduction-blockchain-technologies,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=gVpG7_yEEeijdwpv8TGaaA&productType=course&showMiniModal=true
User Experience: Research & Prototyping,"AXA Learning Week - Customer Experience, Design Product and Software",University of California San Diego,11,4.563564875491481,29835,763,Mixed,https://www.coursera.org/learn/user-research,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=Z3yHdBVBEeWvmQrN_lODCw&productType=course&showMiniModal=true
Human-Centered Design: an Introduction,"AXA Learning Week - Customer Experience, Design Product and Software, Korean Selection, Spanish Selection",University of California San Diego,16,4.675422138836773,85925,2132,Mixed,https://www.coursera.org/learn/human-computer-interaction,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=DDBg7AlXEeWTSSIAC0MDtg&productType=course&showMiniModal=true
Introduction to User Experience Principles and Processes,"AXA Learning Week - Customer Experience, Design Product and Software",University of Michigan,20,4.828651685393258,10097,356,Beginner,https://www.coursera.org/learn/introtoux-principles-and-processes,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=fZGtX7LUEeilNhJ2KR9bNg&productType=course&showMiniModal=true
Managing Project Risks and Changes,"AXA Learning Week - Customer Mindset, Most Popular Courses, Project Management Change Agile","University of California, Irvine",4,4.691341528594335,61530,3742,Mixed,https://www.coursera.org/learn/project-risk-management,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=4EaF6&currentTab=CATALOG&productId=L7stsPOKEeSlpiIAC7NwBA&productType=course&showMiniModal=true
Giving Helpful Feedback,"AXA Learning Week - Customer Mindset, Most Popular Courses, Leadership and Management, Spanish Selection",University of Colorado Boulder,7,4.718498659517426,14966,373,Mixed,https://www.coursera.org/learn/feedback,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=4EaF6&currentTab=CATALOG&productId=HUJ11BnoEeWg_RJGAuFGjw&productType=course&showMiniModal=true
(Giving Helpful Feedback) ????? ????????? ???????,AXA Learning Week - Customer Mindset,University of Colorado Boulder,7,4.805194805194805,807,77,Mixed,https://www.coursera.org/learn/feedback-ar,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=4EaF6&currentTab=CATALOG&productId=ZdWYJOevEeiVEwrPEMq3gg&productType=course&showMiniModal=true
Fornire un feedback utile (Giving Helpful Feedback),"AXA Learning Week - Customer Mindset, Italian Selection",University of Colorado Boulder,8,4.636363636363637,232,11,Mixed,https://www.coursera.org/learn/feedback-it,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=4EaF6&currentTab=CATALOG&productId=Yjw2t6JlEeiB9QpgfrraUA&productType=course&showMiniModal=true
Donner un feedback utile,"AXA Learning Week - Customer Mindset, French Selection",University of Colorado Boulder,9,4.833333333333333,564,6,Mixed,https://www.coursera.org/learn/feedback-fr,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=4EaF6&currentTab=CATALOG&productId=SEE26KJlEei1tg5JdyG1bA&productType=course&showMiniModal=true
Nützliches Feedback geben (Giving Helpful Feedback),"AXA Learning Week - Customer Mindset, German Selection",University of Colorado Boulder,9,4.5,164,2,Mixed,https://www.coursera.org/learn/feedback-de,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=4EaF6&currentTab=CATALOG&productId=aIPhD6JlEeiXjwo-rnXmIg&productType=course&showMiniModal=true
Effective Problem-Solving and Decision-Making,"AXA Learning Week - Customer Mindset, Most Popular Courses, Personal Development, Spanish Selection","University of California, Irvine",5,4.315789473684211,115448,1919,Mixed,https://www.coursera.org/learn/problem-solving,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=4EaF6&currentTab=CATALOG&productId=MdNTKtdhEeSgyyIAC4cL9g&productType=course&showMiniModal=true
"Brand Management: Aligning Business, Brand and Behaviour","AXA Learning Week - Customer Mindset, Business Foundations","London Business School, University of London",25,4.900562851782364,21237,533,Beginner,https://www.coursera.org/learn/brand,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=4EaF6&currentTab=CATALOG&productId=-8cOpydnEeaTvRKF2VtmxQ&productType=course&showMiniModal=true
"High Performance Collaboration: Leadership, Teamwork, and Negotiation","AXA Learning Week - Customer Mindset, Leadership and Management",Northwestern University,14,4.777426992896606,39096,1267,Mixed,https://www.coursera.org/learn/leadership-collaboration,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=4EaF6&currentTab=CATALOG&productId=g2OnMD-OEeWZtA4u62x6lQ&productType=course&showMiniModal=true
An Introduction to Consumer Neuroscience & Neuromarketing,"AXA Learning Week - Emotional Connection, Marketing and Customer",Copenhagen Business School,8,4.67269595176572,52633,1161,Beginner,https://www.coursera.org/learn/neuromarketing,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=K2u3h&currentTab=CATALOG&productId=ix84hqAPEeS1LCIACxcNEQ&productType=course&showMiniModal=true
IBM Customer Engagement Specialist Professional Certificate,"AXA Learning Week - Emotional Connection, New Courses, Marketing and Customer",IBM,22,4.78476821192053,2262,302,Beginner,https://www.coursera.org/learn/ibm-customer-engagement-specialist,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=K2u3h&currentTab=CATALOG&productId=kK2IsV-JEei_nBLwczMEKA&productType=course&showMiniModal=true
The Importance of Listening,"AXA Learning Week - Emotional Connection, Marketing and Customer",Northwestern University,11,4.623325453112687,31021,1269,Mixed,https://www.coursera.org/learn/importance-of-listening,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=K2u3h&currentTab=CATALOG&productId=t1gZRTXyEeW6RApRXdjJPw&productType=course&showMiniModal=true
Understanding User Needs,"AXA Learning Week - Emotional Connection, Design Product and Software",University of Michigan,17,4.734265734265734,3306,143,Beginner,https://www.coursera.org/learn/understanding-user-needs,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=K2u3h&currentTab=CATALOG&productId=q_MmwLLUEeilNhJ2KR9bNg&productType=course&showMiniModal=true
A Crash Course in Data Science,"Most Popular Courses, Data Science, Turkish Selection, Turkish Selection, Chinese Selection",Johns Hopkins University,5,4.479229607250756,122287,5296,Mixed,https://www.coursera.org/learn/data-science-course,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=rd7tg&currentTab=CATALOG&productId=UEk5ZkEWEeWC4g7VhG4bTQ&productType=course&showMiniModal=true
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,"Most Popular Courses, Personal Development, Spanish Selection",McMaster University,11,4.769016227180527,139166,3944,Beginner,https://www.coursera.org/learn/mindshift,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=rd7tg&currentTab=CATALOG&productId=XDJWC7ZqEeaa7BLnmaLUtg&productType=course&showMiniModal=true
"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity","Most Popular Courses, Personal Development, German Selection, Italian Selection, Japanese Selection, Korean Selection, Korean Selection, Portuguese Selection, Spanish Selection, Chinese Selection","University of California, Irvine",3,4.334300451321728,255186,6204,Mixed,https://www.coursera.org/learn/work-smarter-not-harder,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=rd7tg&currentTab=CATALOG&productId=1ndQqNPxEeSloiIAC3kKUw&productType=course&showMiniModal=true
Programming for Everybody (Getting Started with Python),"Most Popular Courses, Data Science, Design Product and Software, German Selection, Chinese Selection",University of Michigan,12,4.834918596406737,963493,74751,Mixed,https://www.coursera.org/learn/python,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=rd7tg&currentTab=CATALOG&productId=7A1yFTaREeWWBQrVFXqd1w&productType=course&showMiniModal=true
Digital Transformation,"Most Popular Courses, Innovation and New Trends, Spanish Selection","University of Virginia, BCG",20,4.7711503347535,43766,1643,Beginner,https://www.coursera.org/learn/bcg-uva-darden-digital-transformation,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=rd7tg&currentTab=CATALOG&productId=rHl0JnJFEeenOwpmZ1LH1g&productType=course&showMiniModal=true
A Scientific Approach to Innovation Management,"New Courses, Business Foundations",Università Bocconi,14,4.571428571428571,768,7,Mixed,https://www.coursera.org/learn/scientific-approach-innovation-management,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=h-61H8VVEeiCWRL0859yPg&productType=course&showMiniModal=true
Blockchain and Business: Applications and Implications,"New Courses, Business Foundations",INSEAD,17,4.734848484848484,2951,132,Mixed,https://www.coursera.org/learn/blockchain-business,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=ER3aJiffEemfRQrtPorF0A&productType=course&showMiniModal=true
Blockchain Opportunity Analysis,"New Courses, Business Foundations",INSEAD,15,4.62962962962963,1689,54,Intermediate,https://www.coursera.org/learn/blockchain-opportunity-analysis,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=RQgakSffEemxwQ7aDvte0A&productType=course&showMiniModal=true
Bonds & Stocks,"New Courses, Business Foundations",University of Michigan,7,4.716417910447762,3255,67,Beginner,https://www.coursera.org/learn/bonds-and-stocks,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=vNVV9dDREei8lg5uAWQo9g&productType=course&showMiniModal=true
Business Analytics Executive Overview,"New Courses, Business Foundations",University of Illinois at Urbana-Champaign,13,4.523809523809524,3206,84,Intermediate,https://www.coursera.org/learn/business-analytics-executive-overview,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=lQpeAht8EemDxxJ40YD1SA&productType=course&showMiniModal=true
Business Model Innovation for Sustainable Landscape Restoration,"New Courses, Business Foundations",Erasmus University Rotterdam,28,4.5,1130,8,Beginner,https://www.coursera.org/learn/bmi-sustainable-landscape-restoration,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=tnrJxoT-EeiVSAqvdu2T-g&productType=course&showMiniModal=true
Decision Criteria & Applications,"New Courses, Business Foundations",University of Michigan,10,4.712121212121212,1095,66,Beginner,https://www.coursera.org/learn/decision-criteria-and-applications,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=z8_ijtDREeioHg7n2aFXLg&productType=course&showMiniModal=true
Global Financing Solutions  (by EDHEC and Société Générale),"New Courses, Business Foundations",EDHEC Business School,19,4.594594594594595,2073,37,Intermediate,https://www.coursera.org/learn/global-financing-solutions,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=qGETKL__Eei46w6hZ9g0Sg&productType=course&showMiniModal=true
Global sustainability and corporate social responsibility: Be sustainable,"New Courses, Business Foundations",Macquarie University,12,4.8,954,30,Beginner,https://www.coursera.org/learn/global-sustainability-be-sustainable,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=kS71lZB0EeiWbhI9enrBdA&productType=course&showMiniModal=true
How Entrepreneurs in Emerging Markets can master the Blockchain Technology,"New Courses, Business Foundations",University of Cape Town,12,4.8,1131,10,Beginner,https://www.coursera.org/learn/entrepreneurs-blockchain-technology,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=Jy5wosZpEeerGhJkyskCRg&productType=course&showMiniModal=true
Innovation and emerging technology: Be disruptive,"New Courses, Innovation and New Trends",Macquarie University,18,4.923076923076923,984,13,Beginner,https://www.coursera.org/learn/innovation-technology-be-disruptive,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=cgIBE5B0EeiW-QopTLEf_g&productType=course&showMiniModal=true
Introduction to Learning Transfer and Life Long Learning (3L),"New Courses, Business Foundations","University of California, Irvine",4,4.647058823529412,495,17,Beginner,https://www.coursera.org/learn/intro-learning-transfer,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=qweFXfJJEeaASQ6Jt6TeNg&productType=course&showMiniModal=true
"Risk, Return & Valuation","New Courses, Business Foundations",University of Michigan,12,4.782608695652174,1477,46,Beginner,https://www.coursera.org/learn/risk-return-and-valuation,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=0BGnEtDREeiYCgpJxBP_Mg&productType=course&showMiniModal=true
Strategic management: Be competitive,"New Courses, Business Foundations",Macquarie University,9,4.956521739130435,742,23,Beginner,https://www.coursera.org/learn/strategic-management-be-competitive,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=TT_oxZB0EeiQHw5xPJAuLA&productType=course&showMiniModal=true
Supply chain management: Be global,"New Courses, Business Foundations",Macquarie University,19,4.764705882352941,2687,34,Beginner,https://www.coursera.org/learn/supply-chain-management-global,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=Cryjy28DEeis-grgLlL-jg&productType=course&showMiniModal=true
Time Value of Money,"New Courses, Business Foundations",University of Michigan,8,4.85625,3444,160,Beginner,https://www.coursera.org/learn/time-value-of-money,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=kaHqc9DREeioHg7n2aFXLg&productType=course&showMiniModal=true
Transacting on the Blockchain,"New Courses, Business Foundations",INSEAD,10,4.806603773584905,2553,212,Intermediate,https://www.coursera.org/learn/transacting-blockchain,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=INwJmyYkEemBxQoEr_JuHA&productType=course&showMiniModal=true
Mandarin Chinese for Intermediate Learners: Capstone Project,"New Courses, Chinese Selection",Shanghai Jiao Tong University,12,,294,0,Intermediate,https://www.coursera.org/learn/mandarin-chinese-intermediate-learner-capstone,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=9v_E-Z6LEei_mgr3v7W0qA&productType=course&showMiniModal=true
Preparing for the Google Cloud Professional Data Engineer Exam,"New Courses, Data Engineering And Cloud",Google Cloud,15,4.62190812720848,11448,283,Advanced,https://www.coursera.org/learn/preparing-cloud-professional-data-engineer-exam,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=AZZak_fXEeiy5gqB-GZ7rA&productType=course&showMiniModal=true
Advanced System Security Topics,"New Courses, Computer Security And Networks",University of Colorado System,11,4.333333333333333,426,6,Beginner,https://www.coursera.org/learn/advanced-system-security-topics,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=vz5B1mqcEeeKABJwpbbkfA&productType=course&showMiniModal=true
Intel® Network Academy - Network Transformation 102,"New Courses, Computer Security And Networks",Intel,11,4.428571428571429,697,14,Beginner,https://www.coursera.org/learn/network-transformation-102,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=ndapzR5iEemGig7OO3_EEA&productType=course&showMiniModal=true
Security and Privacy in TOR Network,"New Courses, Computer Security And Networks",University of Colorado System,12,4.428571428571429,665,7,Intermediate,https://www.coursera.org/learn/security-and-privacy-in-tor-network,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=JPmcFWqcEeecwwoEvbWpsg&productType=course&showMiniModal=true
Créer et développer une startup technologique,"New Courses, Cours en Français","HEC Paris, École Polytechnique",18,4.632302405498282,22210,291,Mixed,https://www.coursera.org/learn/startup-technologique,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=bExR_y8jEeWl3A7Kuc0JCQ&productType=course&showMiniModal=true
Elastic Cloud Infrastructure: Containers and Services en Français,"New Courses, Cours en Français",Google Cloud,4,4.666666666666667,88,3,Intermediate,https://www.coursera.org/learn/gcp-infrastructure-containers-services-fr,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=3TQdrKWKEeiH3AqX3raR7A&productType=course&showMiniModal=true
Elastic Cloud Infrastructure: Scaling and Automation en Français,"New Courses, Cours en Français",Google Cloud,9,5.0,56,3,Intermediate,https://www.coursera.org/learn/gcp-infrastructure-scaling-automation-fr,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=ZdKMxaWJEeiLXw4QLApQMg&productType=course&showMiniModal=true
Essential Cloud Infrastructure: Core Services en Français,"New Courses, Cours en Français",Google Cloud,10,4.5,70,4,Intermediate,https://www.coursera.org/learn/gcp-infrastructure-core-services-fr,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=51cpl6WGEeitEhLVGC9j7A&productType=course&showMiniModal=true
Essential Cloud Infrastructure: Foundation en Français,"New Courses, Cours en Français",Google Cloud,8,4.75,83,8,Intermediate,https://www.coursera.org/learn/gcp-infrastructure-foundation-fr,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=TiVUjKWGEei3zwoGmBo8pg&productType=course&showMiniModal=true
Étudier en France: French Intermediate course B1-B2,"New Courses, Cours en Français",École Polytechnique,40,4.833176248821866,112473,1061,Intermediate,https://www.coursera.org/learn/etudier-en-france,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=HnfPZCR1EeWDEQ4YpP0FCQ&productType=course&showMiniModal=true
Évaluation & Mesure d'Impact Social,"New Courses, Cours en Français",ESSEC Business School,10,4.619047619047619,1499,21,Beginner,https://www.coursera.org/learn/evaluation-mesure-impact-social,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=-jmyNcu-EeinpA5ICFkRGA&productType=course&showMiniModal=true
Google Cloud Platform Big Data and Machine Learning Fundamentals en Français,"New Courses, Cours en Français",Google Cloud,18,4.7,497,10,Intermediate,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals-fr,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=RGTS16ZREeiH3AqX3raR7A&productType=course&showMiniModal=true
Google Cloud Platform Fundamentals: Core Infrastructure en Français,"New Courses, Cours en Français",Google Cloud,13,4.631578947368421,962,19,Intermediate,https://www.coursera.org/learn/gcp-fundamentals-fr,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=Tq_sjE-_EeiNBQqYqBGpZg&productType=course&showMiniModal=true
La recherche documentaire,"New Courses, Cours en Français",École Polytechnique,7,4.422222222222222,11535,90,Beginner,https://www.coursera.org/learn/recherche-documentaire,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=hp5KWAVyEeaa_RIigsB41Q&productType=course&showMiniModal=true
L'entrepreneuriat social : de l'envie au projet,"New Courses, Cours en Français",ESSEC Business School,10,4.651685393258427,7185,89,Beginner,https://www.coursera.org/learn/entrepreneuriatquichangelemonde,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=XZNGlISTEeWxQQoymFg8zQ&productType=course&showMiniModal=true
L'excellence opérationnelle en pratique,"New Courses, Cours en Français",ESSEC Business School,12,4.741379310344827,4752,116,Beginner,https://www.coursera.org/learn/excellence-operationnelle,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=m7C0YyIQEeiscg7BUd3TjA&productType=course&showMiniModal=true
L'innovation managériale en pratique,"New Courses, Cours en Français",ESSEC Business School,4,4.478260869565218,2162,115,Beginner,https://www.coursera.org/learn/innovation-manageriale,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=5MJaAlkJEei6Uw446v94Jg&productType=course&showMiniModal=true
Projet de programmation (en Java),"New Courses, Cours en Français",École Polytechnique Fédérale de Lausanne,27,4.866666666666666,1584,15,Intermediate,https://www.coursera.org/learn/projet-programmation-java,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=CNNezAGtEeiFMA4jWj2FcA&productType=course&showMiniModal=true
Reporting extra-financier et stratégie RSE,"New Courses, New Courses, Data Engineering And Cloud, Cours en Français",ESSEC Business School,12,4.723214285714286,3985,112,Beginner,https://www.coursera.org/learn/reporting-extra-financier-strategie-rse,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=3x9UKw40EeeYSwoRrxflRA&productType=course&showMiniModal=true
Architecting with Google Kubernetes Engine: Foundations,"New Courses, Data Engineering And Cloud",Google Cloud,9,4.72887323943662,7785,852,Intermediate,https://www.coursera.org/learn/foundations-google-kubernetes-engine-gke,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=aOin7ERUEemzhg5D25f0SA&productType=course&showMiniModal=true
Architecting with Google Kubernetes Engine: Workloads,"New Courses, Data Engineering And Cloud",Google Cloud,17,4.752830188679245,4937,530,Intermediate,https://www.coursera.org/learn/deploying-workloads-google-kubernetes-engine-gke,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=rbvN305_EemdyRKorlakmA&productType=course&showMiniModal=true
AWS Fundamentals: Building Serverless Applications,"New Courses, Data Engineering And Cloud",Amazon Web Services,9,4.665605095541402,15234,314,Beginner,https://www.coursera.org/learn/aws-fundamentals-building-serverless-applications,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=nBOY_jY0Eem0_ArClQZx9A&productType=course&showMiniModal=true
Building Cloud Services with the Java Spring Framework,"New Courses, Data Engineering And Cloud",Vanderbilt University,20,4.571428571428571,7150,49,Intermediate,https://www.coursera.org/learn/cloud-services-java-spring-framework,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=AQ9Go5hyEeWqkw5zNB248Q&productType=course&showMiniModal=true
Business Transformation with Google Cloud,"New Courses, Data Engineering And Cloud",Google Cloud,9,4.703703703703703,5425,243,Beginner,https://www.coursera.org/learn/business-transformation-google-cloud,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=1PkWzR59EemY4g4sf5CaYA&productType=course&showMiniModal=true
Mitigating Security Vulnerabilities on Google Cloud Platform,"New Courses, Data Engineering And Cloud",Google Cloud,12,4.734328358208956,3536,335,Intermediate,https://www.coursera.org/learn/mitigating-security-vulnerabilites-gcp,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=BkQTO_GxEeiCNw6qJOIwLA&productType=course&showMiniModal=true
Preparing for the Google Cloud Professional Cloud Architect Exam,"New Courses, Data Engineering And Cloud",Google Cloud,15,4.584867075664621,19461,489,Advanced,https://www.coursera.org/learn/preparing-cloud-professional-cloud-architect-exam,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=7G9QP_fWEeiRYAoJyynoUg&productType=course&showMiniModal=true
